TV_ID,Dialogue_ID,Utterance_ID,Speaker,Gender,Age,Neuroticism,Extraversion,Openness,Agreeableness,Conscientiousness,Scene,FacePosition_LU,FacePosition_RD,Sentiment,Emotion,DA,Utterance
1,01_008,01_008_000_merged,方一凡,male,teenager,low,high,high,high,low,car,263_87,458_293,neutral,neutral,"greeting, question, agreement","Heard it Mom He's coming to Beijing for the college entrance exam, right? Does he have a Beijing household registration?"
1,01_008,01_008_004_merged,童文洁,female,middle-aged,high,high,low,low,high,car,0_0,0_0,negative,"anger, negative-other","statement-non-opinion, statement-opinion, disagreement, irony",Why are you worrying about this? You should worry about what you need to worry about You shouldn't worry about unnecessary things Why doesn’t he have a Beijing household registration? Your aunt married to Fujian back then The household registration wasn’t transferred He has stayed registered in Beijing just like your aunt
1,01_008,01_008_011_merged,方一凡,male,teenager,low,high,high,high,low,car,371_55,524_266,negative,negative-other,statement-opinion,Wouldn’t it have been better if you told me earlier?
1,01_008,01_008_012_merged,童文洁,female,middle-aged,high,high,low,low,high,car,228_86,416_256,negative,anger,question,Did you ask me?
1,01_009,01_009_000_merged,校长,male,middle-aged,low,low,low,high,high,school,353_61,441_161,neutral,neutral,"greeting, statement-non-opinion","Teacher Li Have a seat Teacher Li, about the senior students squatting in class I want to discuss this with you again Our school's leadership team had a meeting specifically yesterday This issue was also discussed at the meeting In the end, we unanimously believe we cannot allow this squatting class policy This batch of students will normally proceed to the senior year"
1,01_009,01_009_008_merged,李老师,female,young,low,high,low,high,high,school,176_76,319_249,neutral,neutral,statement-opinion,"Principal, I already emphasized this in the mobilization meeting My suggestion to let some students squat in class is based on the actual situation of this batch of students Among this batch, the performance of the students at the end is indeed quite far from the undergraduate line So I am worried"
1,01_009,01_009_012_merged,校长,male,middle-aged,low,low,low,high,high,school,331_63,553_330,neutral,neutral,"thanking, statement-opinion, question","I know what you are worried about, Teacher Li You are worried about the admission rate The undergraduate rate, right? You have been teaching senior students for so many years, your results are quite evident As the principal I should particularly thank you for your efforts and hard work But I also hope you understand one thing College entrance exam results are indeed important But the exam itself is just a process Our core is to teach and educate It’s to cultivate our students To help them succeed Rather than blindly pursuing the numbers of enrollment rates"
1,01_010,01_010_000_merged,李老师,female,young,low,high,low,high,high,school,149_74,315_265,"neutral, negative","negative-other, neutral",statement-opinion,"Principal, I understand everything you said Moreover, I don't think there's a conflict between the two Regarding the issue of enrollment rates I think you have a misunderstanding about me I am not blindly pursuing enrollment rates I just hope to treat each student according to their abilities To develop a teaching method that suits them best Instead of letting these unprepared children experience a failure in the college entrance examination You might as well give them more time to prepare"
1,01_010,01_010_009_merged,校长,male,middle-aged,low,low,low,high,high,school,375_105,570_349,neutral,neutral,"statement-opinion, question","But Teacher Li, have you considered what repeating a year might mean For a student And the psychological impact it could cause Let's think from each other's perspective If it were you, would you really be willing to accept the school's arrangement Teacher Li, as a young educator You have drive You have ambition You have the spirit of struggle We all recognize that But nowadays, the training of high school students Education on psychological aspects is as important as education in subjects This is something you, as the grade group leader, should be even more aware of And should master well We teachers still have to believe that all education will yield results someday"
1,01_011,01_011_000_merged,李老师,female,young,low,high,low,high,high,school,239_82,405_287,"neutral, negative","negative-other, neutral","statement-non-opinion, acknowledge","Okay, Principal I understand I'll notify the parents shortly Then I'll communicate about this matter again I will also tell the class teachers to follow up properly afterwards."
1,01_011,01_011_005_merged,校长,male,middle-aged,low,low,low,high,high,school,476_134,602_319,neutral,neutral,"statement-opinion, appreciation, acknowledge",Okay I fully believe in your abilities and those of all the senior teachers I believe this year's senior students will also be outstanding by the time they graduate
1,01_012,01_012_000_merged,刘铮,male,young,low,high,high,high,high,other-venue,517_111,567_184,"negative, neutral","worried, neutral",other,"I'm waiting for you So, uh, it's all taken care of, right?"
1,01_012,01_012_002_merged,刘静,female,middle-aged,low,high,high,high,high,other-venue,242_97,346_196,negative,anger,statement-opinion,It's all your fault Why are you giving him a car?
1,01_012,01_012_004_merged,刘铮,male,young,low,high,high,high,high,other-venue,388_115,546_313,negative,"depress, negative-other","statement-non-opinion, statement-opinion",Didn't say to let him drive it I only agreed to let Yangyang drive after he got his license Let him drive a bit
1,01_013,01_013_000_merged,刘静,female,middle-aged,low,high,high,high,high,other-venue,23_81,186_412,negative,worried,"statement-opinion, statement-non-opinion, question","You know you’re spoiling him, right? Give him whatever he wants Grandparents are the same Spoiling him with everything It’s harmful to him, you know?"
1,01_013,01_013_005_merged,刘铮,male,young,low,high,high,high,high,other-venue,624_25,819_203,"positive, neutral, negative","neutral, depress, negative-other, relaxed","statement-opinion, acknowledge","Yes, I completely agree with that But grandparents spoil him That’s because you aren’t around all year and they’re afraid he’ll feel wronged It’s okay This problem will be solved soon You guys live together Gradually enforce stricter requirements"
1,01_013,01_013_012_merged,刘静,female,middle-aged,low,high,high,high,high,other-venue,44_115,226_358,negative,"negative-other, worried","statement-opinion, other, question",I’m worried that being strict now is too late He doesn’t listen to me at all Don’t even mention his dad Just a few words and he flips out Liu Zheng Does he always say to you He doesn’t want to live with us
1,01_013,01_013_019_merged,刘铮,male,young,low,high,high,high,high,other-venue,404_100,569_330,"neutral, negative","depress, negative-other, neutral","comfort, statement-non-opinion, statement-opinion, question","A child’s words shouldn’t be taken to heart Yang Yang is a smart kid You can only blame yourselves for not spending enough time with him before It's normal for people to vent Is that so? It's fine Once he lives with us, it'll be better slowly"
1,01_014,01_014_000_merged,刘铮,male,young,low,high,high,high,high,other-venue,480_166,525_219,neutral,neutral,question,Can you really decide?
1,01_014,01_014_001_merged,刘静,female,middle-aged,low,high,high,high,high,other-venue,437_187,470_233,neutral,neutral,answer,Suitable
1,01_014,01_014_002_merged,刘铮,male,young,low,high,high,high,high,other-venue,505_11,733_184,neutral,neutral,"statement-non-opinion, statement-opinion","If you can decide, I'll find someone to help you clean Besides, doesn't my brother-in-law like Chinese-style furniture? I have to get a set to put in there"
1,01_014,01_014_006_merged,刘静,female,middle-aged,low,high,high,high,high,other-venue,202_104,367_264,negative,negative-other,"statement-opinion, disagreement",Don't Your brother-in-law is afraid of showing off You mustn't get him such expensive Chinese furniture No need
1,01_014,01_014_010_merged,刘铮,male,young,low,high,high,high,high,other-venue,0_0,0_0,neutral,neutral,statement-opinion,"Don't worry I promise to find an affordable, low-key set, okay? You don't need to worry about this I'll take care of it"
1,01_015,01_015_000_merged,黄芷陶,female,teenager,low,low,high,high,high,school,0_0,0_0,neutral,neutral,"greeting, question, other",There are quite a few fans What are you doing here? Is your car okay?
1,01_015,01_015_003_merged,季杨杨,male,teenager,high,low,low,high,low,school,501_51,588_177,neutral,neutral,"statement-opinion, answer",It's fine It's all in the past
1,01_015,01_015_005_merged,黄芷陶,female,teenager,low,low,high,high,high,school,34_122,164_307,neutral,neutral,statement-opinion,You know Fang Yifan He's not a bad person He's just a show-off Always showing off like a cat fighting a dog Just don't argue with him.
1,01_015,01_015_010_merged,季杨杨,male,teenager,high,low,low,high,low,school,519_23,732_234,negative,disgust,statement-opinion,What kind of person is Fang Yifan? It has nothing to do with me Don't mention him to me
1,01_016,01_016_000_merged,乔英子,female,teenager,high,low,high,high,high,home,112_54,191_177,negative,negative-other,question,I'm back
1,01_016,01_016_001_merged,宋倩,female,middle-aged,high,low,low,low,high,home,204_79,373_250,neutral,neutral,"statement-non-opinion, question, answer",I'm back Are you all hungry? Dinner will be ready soon
1,01_016,01_016_004_merged,乔英子,female,teenager,high,low,high,high,high,home,382_10,486_108,neutral,neutral,question,There are no students today
1,01_016,01_016_005_merged,宋倩,female,middle-aged,high,low,low,low,high,home,51_114,92_179,neutral,neutral,answer,I'm too busy today
1,01_017,01_017_000_merged,乔英子,female,teenager,high,low,high,high,high,home,397_51,505_143,negative,disgust,"statement-opinion, other",Again making this medicinal cuisine I don't like drinking this medicinal-flavored soup
1,01_017,01_017_002_merged,宋倩,female,middle-aged,high,low,low,low,high,home,493_81,650_260,neutral,neutral,statement-non-opinion,It's not for you to feel at ease It's for mom to drink
1,01_017,01_017_004_merged,乔英子,female,teenager,high,low,high,high,high,home,31_23,113_183,neutral,neutral,question,What's wrong with you? Are you feeling unwell?
1,01_017,01_017_006_merged,宋倩,female,middle-aged,high,low,low,low,high,home,491_84,686_289,"neutral, negative","negative-other, neutral","statement-non-opinion, statement-opinion, answer","I haven't been sleeping well lately Not sleeping well, always insomnia Maybe it's too much pressure"
1,01_018,01_018_000_merged,乔英子,female,teenager,high,low,high,high,high,home,0_0,0_0,negative,disgust,statement-opinion,Blaming the pressure again
1,01_018,01_018_001_merged,宋倩,female,middle-aged,high,low,low,low,high,home,0_0,0_0,neutral,neutral,question,What did you say?
1,01_018,01_018_002_merged,乔英子,female,teenager,high,low,high,high,high,home,196_83,325_212,negative,"fear, negative-other","conventional-closing, answer",It's nothing I'm going to study
1,01_018,01_018_004_merged,宋倩,female,middle-aged,high,low,low,low,high,home,502_65,578_167,neutral,neutral,command,Don't study yet Eat first and then talk
1,01_018,01_018_006_merged,乔英子,female,teenager,high,low,high,high,high,home,232_109,270_163,negative,depress,"statement-opinion, question",You have a lot of pressure I have a lot of pressure Does Alexander understand?
1,01_019,01_019_000_merged,乔卫东,male,middle-aged,high,high,high,low,low,home,251_22,559_372,positive,happy,"statement-non-opinion, command",Open the door Daddy
1,01_019,01_019_002_merged,宋倩,female,middle-aged,high,low,low,low,high,home,328_76,480_229,negative,astonished,question,Why are you here?
1,01_019,01_019_003_merged,乔卫东,male,middle-aged,high,high,high,low,low,home,224_20,524_384,negative,"fear, astonished, negative-other","statement-non-opinion, other, command, interjection","Are you at home? Well, not really. Song Qian. Can you open the door a bit? I'm bringing something for the child."
1,01_020,01_020_000_merged,宋倩,female,middle-aged,high,low,low,low,high,home,0_0,0_0,negative,disgust,"statement-non-opinion, command","We agreed to meet once a month. Can we not break the rules, okay? Coming to disturb every day, you should go back first."
1,01_020,01_020_003_merged,乔卫东,male,middle-aged,high,high,high,low,low,home,215_21,519_361,negative,negative-other,"statement-opinion, command","I have an appointment with the child, the child is waiting. Open the door."
1,01_020,01_020_005_merged,宋倩,female,middle-aged,high,low,low,low,high,home,0_0,0_0,negative,"disgust, negative-other","statement-non-opinion, command","He’s doing his test. I also have students here, we’re pretty busy. Don’t disturb us. Go back first."
1,01_021,01_021_000_merged,宋倩,female,middle-aged,high,low,low,low,high,home,307_75,458_229,negative,anger,question,How did you get up here?
1,01_021,01_021_001_merged,乔卫东,male,middle-aged,high,high,high,low,low,home,511_80,560_136,neutral,neutral,"statement-non-opinion, answer",You didn’t let me come up. The property manager personally brought me up here.
1,01_021,01_021_003_merged,宋倩,female,middle-aged,high,low,low,low,high,home,347_94,469_242,negative,"anger, negative-other","question, other","If you have the ability, let him bring you in the door. You run back and forth. What exactly do you want to do?"
1,01_021,01_021_006_merged,乔卫东,male,middle-aged,high,high,high,low,low,home,417_76,563_216,neutral,neutral,"statement-non-opinion, answer",Isn't Yingzi a fan of telescopes? The goods arrived today. I’m bringing the goods for the child.
1,01_021,01_021_009_merged,宋倩,female,middle-aged,high,low,low,low,high,home,0_0,0_0,negative,negative-other,"command, disagreement",Where does a senior student have time to play with that? Take it away.
1,01_021,01_021_011_merged,乔卫东,male,middle-aged,high,high,high,low,low,home,417_81,544_215,negative,negative-other,statement-opinion,"This is the child's hobby. As a dad, shouldn't I support it?"
1,01_021,01_021_013_merged,宋倩,female,middle-aged,high,low,low,low,high,home,175_81,328_219,negative,anger,"statement-opinion, disagreement","You haven't seen me support for all these years. It's senior year now, what support? No way."
1,01_021,01_021_016_merged,乔卫东,male,middle-aged,high,high,high,low,low,home,502_90,555_151,negative,"depress, negative-other","statement-non-opinion, statement-opinion","I support a higher score, right? I’ll just let it go and leave."
1,01_022,01_022_000_merged,宋倩,female,middle-aged,high,low,low,low,high,home,456_100,500_159,negative,anger,question,"I don’t know, he’s very busy now."
1,01_022,01_022_001_merged,乔卫东,male,middle-aged,high,high,high,low,low,home,461_65,610_192,negative,fear,"statement-opinion, question","It won’t delay the kids' matters. Can you just let me in, okay?"
1,01_022,01_022_003_merged,宋倩,female,middle-aged,high,low,low,low,high,home,0_0,0_0,negative,anger,reject,No way.
1,01_022,01_022_004_merged,乔卫东,male,middle-aged,high,high,high,low,low,home,0_0,0_0,negative,negative-other,statement-opinion,I don’t delay anything.
1,01_023,01_023_000_merged,乔卫东,male,middle-aged,high,high,high,low,low,home,100_62,150_138,positive,happy,greeting,Yingzi.
1,01_023,01_023_001_merged,乔英子,female,teenager,high,low,high,high,high,home,0_0,0_0,positive,happy,greeting,"Dad, why are you here?"
1,01_023,01_023_002_merged,乔卫东,male,middle-aged,high,high,high,low,low,home,0_0,0_0,positive,happy,"greeting, statement-non-opinion",Dad bought you a telescope. The kind you like. Take a look.
1,01_023,01_023_005_merged,乔英子,female,teenager,high,low,high,high,high,home,0_0,0_0,"positive, negative","depress, happy","statement-opinion, statement-non-opinion, thanking, agreement","Right, right, right. This is the model I want. Thank you. Or you should take it back. I’ve been busy studying lately. My mom definitely won’t let me play."
1,01_024,01_024_000_merged,乔卫东,male,middle-aged,high,high,high,low,low,home,258_96,415_251,negative,negative-other,question,Why have you been so busy lately?
1,01_024,01_024_001_merged,乔英子,female,teenager,high,low,high,high,high,home,362_67,486_227,negative,anger,"statement-non-opinion, answer",Isn't the class division exam coming up soon? My mom watches me do homework all day.
1,01_024,01_024_003_merged,乔卫东,male,middle-aged,high,high,high,low,low,home,351_98,471_241,"neutral, negative","negative-other, neutral","question, other","No, Yingzi. You tell Dad which university you want to apply to."
1,01_024,01_024_005_merged,乔英子,female,teenager,high,low,high,high,high,home,241_92,403_286,negative,"depress, negative-other","statement-non-opinion, question, other",University? Isn’t there still a year left? Dad. Why are you suddenly so concerned about my studies?
1,01_025,01_025_000_merged,乔卫东,male,middle-aged,high,high,high,low,low,home,321_108,476_345,"neutral, negative","depress, neutral","statement-opinion, other","You’re the one saying that. Aren’t you in your senior year now? Your mom every day, you see, it’s still involving students. I’m afraid I can’t handle it all. Ready to come over to help him"
1,01_025,01_025_005_merged,乔英子,female,teenager,high,low,high,high,high,home,205_77,354_268,negative,negative-other,statement-opinion,You’re not coming to help him anymore
1,01_026,01_026_000_merged,乔英子,female,teenager,high,low,high,high,high,home,0_0,0_0,"positive, neutral","relaxed, neutral","statement-non-opinion, question","It feels pretty good, right? This was installed by my mom for my senior year This soundproofing level Can reach 45 decibels"
1,01_026,01_026_004_merged,方一凡,male,teenager,low,high,high,high,low,home,337_81,478_213,"positive, neutral","happy, neutral",statement-opinion,That’s quite impressive too But I think the ordinary walls aren’t really that different It just feels good
1,01_026,01_026_007_merged,乔英子,female,teenager,high,low,high,high,high,home,268_89,367_207,"neutral, negative","depress, neutral","statement-non-opinion, other",Why would I lie to you? This is just like where celebrities record albums It’s the same effect as a recording studio Whatever you say inside can’t be heard outside
1,01_026,01_026_011_merged,方一凡,male,teenager,low,high,high,high,low,home,339_80,455_243,"positive, negative","fear, happy","question, other","Really Let me try it Tong Wenjie Tong Wenjie, come over here Come here, I have something to tell you, I’ll wait for you right here No, didn’t you say it can’t be heard?"
1,01_026,01_026_017_merged,乔英子,female,teenager,high,low,high,high,high,home,279_66,418_241,negative,depress,answer,"Well, that doesn’t mean you have to shout, big brother"
1,01_027,01_027_000_merged,宋倩,female,middle-aged,high,low,low,low,high,home,485_74,546_128,negative,"depress, negative-other","question, command",Close the door Who are you meeting at the rally? Who do you want to meet?
1,01_027,01_027_003_merged,乔卫东,male,middle-aged,high,high,high,low,low,home,242_71,398_228,"neutral, negative","fear, neutral","statement-opinion, answer","Aren’t there school activities for the kids? What’s wrong? As a dad, can’t I meet the kids?"
1,01_027,01_027_006_merged,宋倩,female,middle-aged,high,low,low,low,high,home,419_98,623_236,negative,anger,"question, statement-non-opinion, statement-opinion, disagreement","What’s this nonsense, when did I stop you from seeing the kids? You’re just pulling my leg, aren’t you? Fine, let me calculate for you Didn’t we agree to meet once a month? Did you go crazy this month? Gave a pencil case once Gave a backpack once Gave a power bank once Gave a Bluetooth headset once What are you here to give today? As for glasses, how many times do you think you've seen her this month?"
1,01_028,01_028_000_merged,乔卫东,male,middle-aged,high,high,high,low,low,home,159_69,312_200,neutral,neutral,answer,Five or six times
1,01_028,01_028_001_merged,宋倩,female,middle-aged,high,low,low,low,high,home,380_83,507_211,negative,negative-other,question,Six times When else have you seen him?
1,01_028,01_028_003_merged,乔卫东,male,middle-aged,high,high,high,low,low,home,222_89,370_237,negative,"fear, negative-other",answer,Six times That's just an estimate from me Roughly
1,01_029,01_029_000_merged,宋倩,female,middle-aged,high,low,low,low,high,home,417_99,567_274,negative,negative-other,"statement-non-opinion, question","I'm not arguing with you anymore Just tell me Who did you meet at your oath-taking meeting? Who did you greet? You greeted Fang Yuan, right? They are the parents of the kids, right?"
1,01_029,01_029_006_merged,乔卫东,male,middle-aged,high,high,high,low,low,home,293_53,451_225,negative,fear,answer,Was that a greeting? I was just notifying Fang Yuan about something
1,01_029,01_029_008_merged,宋倩,female,middle-aged,high,low,low,low,high,home,383_71,536_231,negative,anger,question,Who should you greet?
1,01_030,01_030_000_merged,乔卫东,male,middle-aged,high,high,high,low,low,home,0_0,0_0,negative,depress,"statement-non-opinion, question","I talked to Yingzi, so what? As a parent, can't I go?"
1,01_030,01_030_002_merged,宋倩,female,middle-aged,high,low,low,low,high,home,391_89,503_214,negative,anger,"statement-opinion, question, irony","You’re a parent now Have you cared about Yingzi’s studies over the years? Have you cared? You think you’re a parent now? In this school, I am Yingzi's parent Do you understand?"
1,01_030,01_030_008_merged,乔卫东,male,middle-aged,high,high,high,low,low,home,365_75,464_262,"negative, neutral","fear, negative-other, neutral","statement-opinion, other","I finally understand, Song Qian Spring Breeze, that's your old workplace Didn't get to sit down Are you afraid your old colleagues will see me? You're embarrassed, aren't you?"
1,01_031,01_031_000_merged,宋倩,female,middle-aged,high,low,low,low,high,home,311_49,450_216,negative,anger,question,What nonsense are you talking?
1,01_031,01_031_001_merged,乔卫东,male,middle-aged,high,high,high,low,low,home,353_214,514_435,neutral,neutral,statement-opinion,"I'm like this tomorrow I'll stand far away from you I'll stand by the playground, okay?"
1,01_031,01_031_004_merged,宋倩,female,middle-aged,high,low,low,low,high,home,246_67,334_165,negative,negative-other,statement-opinion,You're still standing alone by the playground Isn't that eye-catching enough? Aren't you worried about being embarrassed?
1,01_032,01_032_000_merged,乔卫东,male,middle-aged,high,high,high,low,low,home,369_66,527_280,negative,"depress, negative-other","statement-opinion, other","It's not you, and you won't let him, fine, fine, fine I'm both far and near from you Making people feel we're both a family At the same time, an imperfect family"
1,01_032,01_032_004_merged,宋倩,female,middle-aged,high,low,low,low,high,home,239_74,395_235,negative,"disgust, depress","greeting, statement-opinion",Qiao Weidong Have you done too many sneaky things? Why are you always so sneaky? Sneaky habits
1,01_032,01_032_008_merged,乔卫东,male,middle-aged,high,high,high,low,low,home,387_80,552_285,negative,anger,question,Don't you know why I'm sneaky?
1,01_033,01_033_000_merged,宋倩,female,middle-aged,high,low,low,low,high,home,281_89,437_247,negative,negative-other,answer,I know
1,01_033,01_033_001_merged,乔卫东,male,middle-aged,high,high,high,low,low,home,389_64,536_268,negative,depress,"statement-non-opinion, statement-opinion",Isn't that because I'm afraid of you? Of course It's not fear anymore I respect you
1,01_033,01_033_005_merged,宋倩,female,middle-aged,high,low,low,low,high,home,236_90,307_162,negative,negative-other,"statement-non-opinion, statement-opinion","We have never disturbed your current life That's your life, right? Please don't disturb the two of us anymore Is that okay?"
1,01_034,01_034_000_merged,乔卫东,male,middle-aged,high,high,high,low,low,home,424_122,607_336,negative,"depress, negative-other",statement-opinion,I'm not trying to disturb you I admit I've come by more often this past month But the reason is simple I feel that Yingzi is working hard enough But not relaxing enough The child often says they're under a lot of pressure And doesn't dare to talk to you about it
1,01_034,01_034_007_merged,宋倩,female,middle-aged,high,low,low,low,high,home,285_84,432_254,negative,negative-other,question,How do you know?
1,01_034,01_034_008_merged,乔卫东,male,middle-aged,high,high,high,low,low,home,402_66,571_254,negative,negative-other,statement-opinion,"Bloodline, the connection of blood As the child's father Can I help the child relax a bit? You're well-intentioned I know you always aim for perfection in everything you do But in the education of the child, there should be a balance You can't push the child too hard Otherwise, it will backfire"
1,01_035,01_035_000_merged,方一凡,male,teenager,low,high,high,high,low,home,0_0,0_0,positive,relaxed,"statement-opinion, other, command","Yingzi Your dad gave you that telescope, it's so cool You have to keep it for me And let me borrow it for a couple of days"
1,01_035,01_035_004_merged,乔英子,female,teenager,high,low,high,high,high,home,245_101,370_278,negative,depress,statement-opinion,You don't know my mom She's really tough Very authoritarian
1,01_035,01_035_007_merged,方一凡,male,teenager,low,high,high,high,low,home,0_0,0_0,negative,"depress, astonished, negative-other",statement-opinion,"Don't talk about your mom like that Your mom is great Always cheerful, gentle, and kind Just like my mom, fierce and intimidating She doesn't reason with you Just now, at the supermarket, she almost slapped me to death"
1,01_035,01_035_013_merged,乔英子,female,teenager,high,low,high,high,high,home,424_189,458_232,negative,"astonished, depress, negative-other","statement-non-opinion, statement-opinion","Don't rush Aren't you all still here? As soon as you leave, my precious telescope is going to be confiscated. If I ask him for it, he will say once the college entrance exam is over, it returns to its owner."
1,01_035,01_035_019_merged,方一凡,male,teenager,low,high,high,high,low,home,127_41,256_171,negative,worried,statement-opinion,"I said, ""What about your mom?"""
1,01_036,01_036_000_merged,乔英子,female,teenager,high,low,high,high,high,home,503_112,597_255,negative,worried,"statement-non-opinion, statement-opinion","I really feel sorry for my dad right now. You see, he has been sending me things every other day. Every time, didn't my mom just shoot it down? He just tucked his tail between his legs and ran away."
1,01_036,01_036_004_merged,方一凡,male,teenager,low,high,high,high,low,home,236_33,355_178,positive,relaxed,statement-opinion,It turns out all moms in the world are the same.
1,01_036,01_036_005_merged,乔英子,female,teenager,high,low,high,high,high,home,487_111,615_276,negative,depress,statement-opinion,We are all people who have fallen into misfortune.
1,01_037,01_037_000_merged,童文洁,female,middle-aged,high,high,low,low,high,home,0_0,0_0,negative,depress,command,"Fang Yuan, don't do that, come here."
